Issues / Notes	Ontology ID	label	alternative label	Reported	term tracker item	entity type	created	parent class ID	parent class label	Equivalence axiom	is about	is about label (for reference only)	definition	Alt definition	definition source	example of usage	contributor	curation status	editor note	comment	database cross reference	in subset	see also	english exact synonym	english broad synonym	english narrow synonym	english related synonym	British english exact synonym	Italian exact synonym	French exact synonym	German exact synonym	Spanish exact synonym	Portuguese exact synonym
	GENEPIO:0100281	epidemiology case ID field	case ID|case identifier	Updated		class	2021-04-24T00:42:14Z	GENEPIO:0100631	identifier field			epidemiology case identifier	A data field which describes the identifier used to specify an epidemiologically detected case of disease.			ABCD1234	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		Example Guidance: Provide the case identifer. The case ID greatly facilitates linkage between laboratory and epidemiological data. The case ID may be considered identifiable information. Consult the data steward before sharing.		CanCOGeN SARS-CoV-2 |  | Monkeypox | Monkeypox-International		case ID slot|case identifier field|case identifier slot									
	GENEPIO:0001128	related specimen primary ID field	related specimen primary ID|related specimen primary identifier	Updated		class	2021-04-24T00:42:14Z	GENEPIO:0100631	identifier field			related specimen primary identifier	A data field which describes the primary identifer of a related specimen previously submitted to the repository.			SR20-12345	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		Example Guidance: Store the primary ID of the related specimen previously submitted to the National Microbiology Laboratory so that the samples can be linked and tracked through the system.		CanCOGeN SARS-CoV-2 |  | Monkeypox		related specimen primary ID slot|related specimen primary identifier field|related specimen primary identifier slot									
	GENEPIO:0001131	IRIDA sample name field	IRIDA sample name|IRIDA sample identifier	Updated		class	2021-04-24T00:42:14Z	GENEPIO:0100631	identifier field			IRIDA isolate identifier	A data field which describes the identifer assigned to a sequenced isolate in Integrated Rapid Infectious Disease Analysis (IRIDA) bioinformatics platform.			prov_rona_99	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		Example Guidance: Store the IRIDA sample name. The IRIDA sample name will be created by the individual entering data into the IRIDA platform. IRIDA samples may be linked to metadata and sequence data, or just metadata alone. It is recommended that the IRIDA sample name be the same as, or contain, the specimen collector sample ID for better traceability. It is also recommended that the IRIDA sample name mirror the GISAID accession. IRIDA sample names cannot contain slashes. Slashes should be replaced by underscores. See IRIDA documentation for more information regarding special characters (https://irida.corefacility.ca/documentation/user/user/samples/#adding-a-new-sample).		CanCOGeN SARS-CoV-2		IRIDA sample name slot|Integrated Rapid Infectious Disease Analysis sample name field|Integrated Rapid Infectious Disease Analysis sample name slot|IRIDA sample identifier slot|Integrated Rapid Infectious Disease Analysis sample identifier field|Integrated Rapid Infectious Disease Analysis sample identifier slot| IRIDA sample ID slot|Integrated Rapid Infectious Disease Analysis sample ID field|Integrated Rapid Infectious Disease Analysis sample ID slot									
	GENEPIO:0001133	umbrella bioproject accession field	umbrella bioproject accession	Updated		class	2021-04-24T00:42:14Z	GENEPIO:0100631	identifier field			umbrella project accession	An identifier data field which describes the International Nucleotide Sequence Database Collaboration (INSDC) umbrella accession number of the BioProject to which the BioSample belongs.			PRJNA623807	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		Example Guidance: Required if submission is linked to an umbrella BioProject. An umbrella BioProject links together related BioProjects. A valid BioProject umbrella accession has prefix PRJN, PRJE or PRJD. Your laboratory can have one or many BioProjects.		CanCOGeN SARS-CoV-2 | PHA4GE SARS-CoV-2		umbrella bioproject accession slot									
	GENEPIO:0001136	bioproject accession field	bioproject accession|bioproject_accession	Updated		class	2021-04-24T00:42:14Z	GENEPIO:0100631	identifier field			bioproject accession	An identifier data field which describes the International Nucleotide Sequence Database Collaboration (INSDC) accession number of the BioProject(s) to which the BioSample belongs.			PRJNA12345	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		Example Guidance: Required if submission is linked to a BioProject. BioProjects are an organizing tool that links together raw sequence data, assemblies, and their associated metadata. A valid BioProject accession has prefix PRJN, PRJE or PRJD, e.g., PRJNA12345 and is created once at the beginning of a new sequencing project. Your laboratory can have one or many BioProjects.		CanCOGeN SARS-CoV-2 | PHA4GE SARS-CoV-2 | Monkeypox | Monkeypox-International | GRDI		bioproject accession slot									
	GENEPIO:0001139	biosample accession field	biosample accession|biosample_accession	Updated		class	2021-04-24T00:42:14Z	GENEPIO:0100631	identifier field			biosample accession	A data field which describes the identifier assigned to a BioSample in International Nucleotide Sequence Database Collaboration (INSDC) archives.			SAMN14180202	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		Example Guidance: Store the accession returned from the BioSample submission. NCBI BioSamples will have the prefix SAMN, while ENA BioSamples will have the prefix SAMEA.		CanCOGeN SARS-CoV-2 | PHA4GE SARS-CoV-2 | Monkeypox | Monkeypox-International | GRDI		biosample accession slot									
	GENEPIO:0001142	SRA accession field	SRA accession|SRA_accession	Updated		class	2021-04-24T00:42:14Z	GENEPIO:0100631	identifier field			SRA accession	A data field which describes the Sequence Read Archive (SRA), European Nucleotide Archive (ENA) or DDBJ Sequence Read Archive (DRA) identifier linking raw read data, methodological metadata and quality control metrics submitted to the International Nucleotide Sequence Database Collaboration (INSDC).			SRR11177792	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		DDBJ = DNA DataBank of Japan  Example Guidance: Store the accession assigned to the submitted .run.. NCBI-SRA accessions start with SRR, EBI-ENA runs start with ERR and DRA accessions start with DRR.		CanCOGeN SARS-CoV-2 | PHA4GE SARS-CoV-2 | Monkeypox | Monkeypox-International | GRDI		SRA accession slot|Sequence Read Archive accession field|Sequence Read Archive accession slot									
	GENEPIO:0001145	GenBank accession field	GenBank accession|GenBank/ENA/DDBJ accession|GenBank_accession	Updated		class	2021-04-24T00:42:14Z	GENEPIO:0100631	identifier field		OBI:0001614	GenBank ID	A data field which describes the GenBank/ENA/DDBJ identifier assigned to the sequence in the International Nucleotide Sequence Database Collaboration (INSDC) archives.			MN908947.3	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		GenBank = National Genetic Sequence Data Base; ENA = European Nucleotide Archive; DDBJ = DNA DataBank of Japan  Example Guidance: Store the accession returned from a GenBank/ENA/DDBJ submission (viral genome assembly).		CanCOGeN SARS-CoV-2 | PHA4GE SARS-CoV-2 | Monkeypox | Monkeypox-International | GRDI		GenBank accession slot|GenBank/ENA/DDBJ accession slot|GenBank/ENA/DDBJ accession field|National Genetic Sequence Data Base accession field|National Genetic Sequence Data Base accession slot									
	GENEPIO:0001147	GISAID accession field	GISAID accession	Updated		class	2021-04-24T00:42:14Z	GENEPIO:0100631	identifier field			GISAID accession	An identifier data field which describes the Global Initiative on Sharing Avian Influenza Data (GISAID) accession number assigned to the sequence.			EPI_ISL_123456	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		Example Guidance: Store the accession returned from the GISAID submission.		CanCOGeN SARS-CoV-2 | PHA4GE SARS-CoV-2 | Monkeypox | Monkeypox-International		GISAID accession slot|Global Initiative on Sharing Avian Influenza Data accession field|Global Initiative on Sharing Avian Influenza Data accession slot									
	GENEPIO:0100282	GISAID virus name field	GISAID virus name	Updated		class	2021-04-24T00:42:14Z	GENEPIO:0100631	identifier field			GISAID virus name identifier	An identifier data field which describes the user-defined Global Initiative on Sharing Avian Influenza Data (GISAID) virus name assigned to the sequence.			hCoV-19/Canada/prov_rona_99/2020	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		Example Guidance: GISAID virus names should be in the format .hCoV-19/Country/Identifier/year..		PHA4GE SARS-CoV-2 | Monkeypox		GISAID virus name slot|Global Initiative on Sharing Avian Influenza Data virus name field|Global Initiative on Sharing Avian Influenza Data virus name slot									
	GENEPIO:0100283	host specimen voucher field	host specimen voucher	Updated		class	2021-04-24T00:42:14Z	GENEPIO:0100631	identifier field			host specimen voucher	A data field which describes the identifier for the physical specimen.			URI example: http://portal.vertnet.org/o/fmnh/mammals?id=33e55cfe-330b-40d9-aaae-8d042cba7542, INSDC triplet example: UAM:Mamm:52179	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		Example Guidance: Include a URI (Uniform Resource Identifier) in the form of a URL providing a direct link to the physical host specimen. If the specimen was destroyed in the process of analysis, electronic images (e-vouchers) are an adequate substitute for a physical host voucher specimen. If a URI is not available, a museum-provided globally unique identifier (GUID) can be used. If no persistent unique identifier is available, follow the INSDC guidance for populating the voucher_specimen attribute using standard triplets for institution codes (i.e., /specimen_voucher=.[<institution-code>:[<collection-code>:]]<specimen_id>.): http://www.insdc.org/controlled-vocabulary-specimenvoucher-qualifier		PHA4GE SARS-CoV-2		host specimen voucher slot|host specimen voucher identifier field|host specimen voucher identifier slothost specimen voucher ID field|host specimen voucher ID slot									
	GENEPIO:0100427	alternative sample ID field	alternative_sample_ID|alternative sample ID|alternative sample identifier	Updated		class	2021-04-24T00:42:14Z	GENEPIO:0100631	identifier field			alternative sample identifier	A data field which describes an alternative sample identifier assigned to the sample by another organization.			bvn5567, RA1-HH789	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		Example Guidance: Provide any alternative identifiers for the sample here, separated by commas. Alternative identifiers assigned to the sample should be tracked along with original IDs to establish chain of custody. If the information is unknown or cannot be provided, leave blank or provide a null value.		GRDI		alternative sample ID slot|alternative sample identifier field|alternative sample identifier slot									
	GENEPIO:0001153	sample collected by field	sample_collected_by|sample collected by	Updated		class	2021-04-24T00:42:14Z	GENEPIO:0100586	data field			sample collector|service provider?	A data field which describes the name of the organization with which the sample collector is affiliated.			Public Health Agency of Canada	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		Example Guidance: The name of the agency should be written out in full, (with minor exceptions) and be consistent across multiple submissions.		CanCOGeN SARS-CoV-2 | PHA4GE SARS-CoV-2 | Monkeypox | Monkeypox-International | GRDI		sample collected by slot									
	GENEPIO:0100428	sample collected by laboratory name field	sample_collected_by_laboratory_name|sample collected by laboratory name	Updated		class	2021-04-24T00:42:14Z	GENEPIO:0100586	data field			sample collector|laboratory?	A data field which describes the specific laboratory affiliation of the sample collector.			Topp Lab	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		Example Guidance: Provide the name of the specific laboratory that collected the sample (avoid abbreviations). If the information is unknown or cannot be provided, leave blank or provide a null value.		GRDI		sample collected by laboratory name slot									
	GENEPIO:0100429	sample collection project name field	sample_collection_project_name|sample collection project name	Updated		class	2021-04-24T00:42:14Z	GENEPIO:0100586	data field				A data field which describes the project/initiative/program for which the sample was collected.			Watershed Project (HA-120)	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		Example Guidance: Provide the name of the project and/or the project ID here. If the information is unknown or cannot be provided, leave blank or provide a null value.		GRDI		sample collection project name slot									
	GENEPIO:0100430	sample plan name field	sample_plan_name|sample plan name	Updated		class	2021-04-24T00:42:14Z	GENEPIO:0100586	data field				A data field which describes the name of the study design for a surveillance project.			National Microbiological Baseline Study in Broiler Chicken	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		Example Guidance: Provide the name of the sample plan used for sample collection. If the information is unknown or cannot be provided, leave blank or provide a null value.		GRDI		sample plan name slot									
	GENEPIO:0100431	sample plan ID field	sample_plan_ID|sample plan ID|sample plan identifier	Updated		class	2021-04-24T00:42:14Z	GENEPIO:0100631	identifier field				A data field which describes the identifier of the study design for a surveillance project.			2001_M205	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		Example Guidance: Provide the identifier of the sample plan used for sample collection. If the information is unknown or cannot be provided, leave blank or provide a null value.		GRDI		sample plan ID slot|sample plan identifier field|sample plan identifier slot									
	GENEPIO:0100432	sample collector contact name field	sample_collector_contact_name|sample collector contact name	Updated		class	2021-04-24T00:42:14Z	GENEPIO:0100586	data field				A data field which describes the name or job title of the contact responsible for follow-up regarding the sample.			Enterics Lab Manager	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		Example Guidance: Provide the name of an individual or their job title. As personnel turnover may render the contact's name obsolete, it is more preferable to provide a job title for ensuring accuracy of information and institutional memory. If the information is unknown or cannot be provided, leave blank or provide a null value.		GRDI		sample collector contact name slot									
	GENEPIO:0001156	sample collector contact email field	sample_collector_contact_email|sample collector contact email	Updated		class	2021-04-24T00:42:14Z	GENEPIO:0100586	data field		IAO:0000429	email address	A data field which describes the email address of the contact responsible for follow-up regarding the sample.			johnnyblogs@lab.ca	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		Example Guidance: The email address can represent a specific individual or laboratory.		CanCOGeN SARS-CoV-2 | PHA4GE SARS-CoV-2 | Monkeypox | Monkeypox-International		sample collector contact email slot									
	GENEPIO:0001158	sample collector contact address field	sample collector contact address	Updated		class	2021-04-24T00:42:14Z	GENEPIO:0100586	data field				A data field which describes the mailing address of the agency submitting the sample.			655 Lab St, Vancouver, British Columbia, V5N 2A2, Canada	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		Example Guidance: The mailing address should be in the format: Street number and name, City, State/Province/Region, Country, Postal Code/Zip Code		CanCOGeN SARS-CoV-2 | PHA4GE SARS-CoV-2 | Monkeypox | Monkeypox-International		sample collector contact address slot									
	GENEPIO:0100416	sequenced by field	sequenced_by|sequenced by	Updated		class	2021-04-24T00:42:14Z	GENEPIO:0100586	data field				A data field which describes the name of the agency that generated the sequence.			Public Health Ontario (PHO)	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		Example Guidance: The name of the agency should be written out in full, (with minor exceptions) and be consistent across multiple submissions. If submitting specimens rather than sequencing data, please put the .National Microbiology Laboratory (NML)..		Monkeypox | Monkeypox-International | GRDI		sequenced by slot									
	GENEPIO:0100422	sequenced by contact email field	sequenced_by_contact_email|sequenced by contact email	Updated		class	2021-04-24T00:42:14Z	GENEPIO:0100586	data field		IAO:0000429	email address	A data field which describes the email address of the contact responsible for follow-up regarding the sequence.			RespLab@lab.ca	https://orcid.org/0000-0002-9578-0788 |https://orcid.org/0000-0002-8844-9165 |https://orcid.org/0000-0002-1107-9135 	requires discussion		Example Guidance: The email address can represent a specific individual or lab e.g. johnnyblogs@lab.ca, or RespLab@lab.ca		Monkeypox | Monkeypox-International | GRDI		sequenced by contact email slot									
